reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,goal_scorer,matchRound,HomeTeamId
139669712Goal141762undefinedtrue,2,Goal,2,,13966971,"{'id': 141762, 'name': 'Carlos Lampe', 'profileUrl': '/players/141762/carlos-lampe'}",0,0,/players/141762/carlos-lampe,False,True,True,Own goal,owngoal,OG,own_goal_short,False,Carlos Lampe,Carlos,Lampe,Carlos Lampe,141762,"[1, 0]",,"{'id': 2921080955, 'eventType': 'Goal', 'teamId': 5983, 'playerId': 141762, 'playerName': 'Carlos Lampe', 'x': 4.3620689652, 'y': 40.553571429, 'min': 1, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 35.60125, 'goalCrossedZ': 0.5265263132, 'expectedGoals': 0, 'expectedGoalsOnTarget': 0, 'shotType': 'OtherBodyParts', 'situation': 'FastBreak', 'period': 'FirstHalf', 'isOwnGoal': True, 'onGoalShot': {'x': 0.5763888888888888, 'y': 0.13929267544973545, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 141762, 'firstName': 'Carlos', 'lastName': 'Lampe', 'fullName': 'Carlos Lampe', 'teamColor': '#4ab4dc'}",,,Lampe,1,161729
1396758483Goal1019476undefinedtrue,83,Goal,83,,13967584,"{'id': 1019476, 'name': 'Juan Díaz', 'profileUrl': '/players/1019476/juan-diaz'}",0,2,/players/1019476/juan-diaz,False,True,,,,,,False,Juan Díaz,Juan,Díaz,Juan Díaz,1019476,"[1, 2]",,"{'id': 2921146189, 'eventType': 'Goal', 'teamId': 6458, 'playerId': 1019476, 'playerName': 'Juan Díaz', 'x': 100.1637931038, 'y': 34.38125, 'min': 83, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 33.77125, 'goalCrossedZ': 0.20547368320000003, 'expectedGoals': 0.2766798734664917, 'expectedGoalsOnTarget': 0.34309354424476624, 'shotType': 'RightFoot', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.0605158730158726, 'y': 0.05435811724867726, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1353756, 'firstName': 'Juan', 'lastName': 'Díaz', 'fullName': 'Juan Díaz', 'teamColor': '#1050A0'}",,,Díaz,1,6458
1396939290Goal289285undefinedtrue,90 + 5,Goal,90,5,13969392,"{'id': 289285, 'name': 'Manuel Fernández', 'profileUrl': '/players/289285/manuel-fernandez'}",0,1,/players/289285/manuel-fernandez,+5,True,,,,,,False,Manuel Fernández,Manuel,Fernández,Manuel Fernández,289285,"[1, 1]",,"{'id': 2921363269, 'eventType': 'Goal', 'teamId': 4062, 'playerId': 289285, 'playerName': 'Manuel Fernández', 'x': 102.155172414, 'y': 36.5925, 'min': 90, 'minAdded': 5, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.135000000000005, 'goalCrossedZ': 0.0834736838, 'expectedGoals': 0.7757752537727356, 'expectedGoalsOnTarget': 0.9917221665382385, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.4351851851851839, 'y': 0.02208298513227513, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1251270, 'firstName': 'Manuel', 'lastName': 'Fernández', 'fullName': 'Manuel Fernández', 'teamColor': '#e19c00'}",,,Fernández,1,4062
1396931660Goal816015undefinedtrue,60,Goal,60,,13969316,"{'id': 816015, 'name': 'João Victor', 'profileUrl': '/players/816015/joao-victor'}",0,0,/players/816015/joao-victor,False,True,,,,,,False,João Victor,João,Victor,João Victor,816015,"[1, 0]",,"{'id': 2921355423, 'eventType': 'Goal', 'teamId': 163782, 'playerId': 816015, 'playerName': 'João Victor', 'x': 95.640350876, 'y': 32.9325, 'min': 60, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.48375, 'goalCrossedZ': 1.0145263108, 'expectedGoals': 0.04488697648048401, 'expectedGoalsOnTarget': 0.16012650728225708, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.665674603174603, 'y': 0.2683932039153439, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 529372, 'firstName': 'João', 'lastName': 'Victor', 'fullName': 'João Victor', 'teamColor': '#d99f00'}",assist by Reinaldo,/players/306512/reinaldo,306512,assist_by,Reinaldo,Victor,1,163782
1396955264Goal1310086undefinedtrue,64,Goal,64,,13969552,"{'id': 1310086, 'name': 'Francisco Chaverra', 'profileUrl': '/players/1310086/francisco-chaverra'}",0,1,/players/1310086/francisco-chaverra,False,True,,,,,,False,Francisco Chaverra,Francisco,Chaverra,Francisco Chaverra,1310086,"[1, 1]",,"{'id': 2921381715, 'eventType': 'Goal', 'teamId': 2528, 'playerId': 1310086, 'playerName': 'Francisco Chaverra', 'x': 95.9298245603, 'y': 27.446428571, 'min': 63, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 35.143750000000004, 'goalCrossedZ': 0.4879999976, 'expectedGoals': 0.15721946954727173, 'expectedGoalsOnTarget': 0.3336651623249054, 'shotType': 'LeftFoot', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.6974206349206338, 'y': 0.12910052846560846, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 56829, 'firstName': 'Francisco', 'lastName': 'Chaverra', 'fullName': 'Francisco Chaverra', 'teamColor': '#E61D30'}",assist by Daniel Cataño,/players/725051/daniel-catano,725051,assist_by,Daniel Cataño,F. Chaverra,1,2528
1396943910Goal98220undefinedtrue,10,Goal,10,,13969439,"{'id': 98220, 'name': 'Teofilo Gutiérrez', 'profileUrl': '/players/98220/teofilo-gutierrez'}",0,0,/players/98220/teofilo-gutierrez,False,True,,Penalty,penalty,Pen,penalties_short,False,Teofilo Gutiérrez,Teofilo,Gutiérrez,Teofilo Gutiérrez,98220,"[1, 0]",,"{'id': 2921372251, 'eventType': 'Goal', 'teamId': 2254, 'playerId': 98220, 'playerName': 'Teofilo Gutiérrez', 'x': 94, 'y': 34, 'min': 10, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.7125, 'goalCrossedZ': 1.1814736784, 'expectedGoals': 0.7884, 'expectedGoalsOnTarget': 0.7655424475669861, 'shotType': 'RightFoot', 'situation': 'Penalty', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.6051587301587305, 'y': 0.31255917417989415, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1043826, 'firstName': 'Teofilo', 'lastName': 'Gutiérrez', 'fullName': 'Teofilo Gutiérrez', 'teamColor': '#BD2511'}",,,Gutiérrez,1,2254
1396983482Goal750057undefinedtrue,82,Goal,82,,13969834,"{'id': 750057, 'name': 'Felipe Vizeu', 'profileUrl': '/players/750057/felipe-vizeu'}",0,0,/players/750057/felipe-vizeu,False,True,,,,,,False,Felipe Vizeu,Felipe,Vizeu,Felipe Vizeu,750057,"[1, 0]",,"{'id': 2921408343, 'eventType': 'Goal', 'teamId': 1848, 'playerId': 750057, 'playerName': 'Felipe Vizeu', 'x': 102.155172414, 'y': 37.27875, 'min': 82, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.0175, 'goalCrossedZ': 1.1814736784, 'expectedGoals': 0.6059091687202454, 'expectedGoalsOnTarget': 0.9404788613319397, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.5244708994709, 'y': 0.31255917417989415, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 467955, 'firstName': 'Felipe', 'lastName': 'Vizeu', 'fullName': 'Felipe Vizeu', 'teamColor': '#72AECF'}",assist by Yoshimar Yotún,/players/116911/yoshimar-yotun,116911,assist_by,Yoshimar Yotún,Vizeu,1,1848
1397098430Goal1070203undefinedtrue,30,Goal,30,,13970984,"{'id': 1070203, 'name': 'Juan Cuesta', 'profileUrl': '/players/1070203/juan-cuesta'}",0,0,/players/1070203/juan-cuesta,False,True,,,,,,False,Juan Cuesta,Juan,Cuesta,Juan Cuesta,1070203,"[1, 0]",,"{'id': 2921577705, 'eventType': 'Goal', 'teamId': 188213, 'playerId': 1070203, 'playerName': 'Juan Cuesta', 'x': 92.2, 'y': 36.2875, 'min': 30, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.24625, 'goalCrossedZ': 0.3659999982, 'expectedGoals': 0.20721183717250824, 'expectedGoalsOnTarget': 0.43104252219200134, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.4639550264550256, 'y': 0.09682539634920634, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 940259, 'firstName': 'Juan', 'lastName': 'Cuesta', 'fullName': 'Juan Cuesta', 'teamColor': '#275190'}",,,Cuesta,1,188213,,,
1397112688Goal1022722undefinedtrue,88,Goal,88,,13971126,"{'id': 1022722, 'name': 'Yeiber Murillo', 'profileUrl': '/players/1022722/yeiber-murillo'}",1,1,/players/1022722/yeiber-murillo,False,True,,,,,,False,Yeiber Murillo,Yeiber,Murillo,Yeiber Murillo,1022722,"[2, 1]",,"{'id': 2921595607, 'eventType': 'Goal', 'teamId': 188213, 'playerId': 1022722, 'playerName': 'Yeiber Murillo', 'x': 98.4385964909, 'y': 30.492499999999996, 'min': 87, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.39875, 'goalCrossedZ': 0.44947368200000004, 'expectedGoals': 0.1431349664926529, 'expectedGoalsOnTarget': 0.6322792172431946, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.4236111111111112, 'y': 0.11890838148148149, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 940259, 'firstName': 'Yeiber', 'lastName': 'Murillo', 'fullName': 'Yeiber Murillo', 'teamColor': '#275190'}",assist by Francisco Solé,/players/1333208/francisco-sole,Murillo,1,188213,1333208.0,assist_by,Francisco Solé
1397115090Goal1333208undefinedtrue,90 + 6,Goal,90,6,13971150,"{'id': 1333208, 'name': 'Francisco Solé', 'profileUrl': '/players/1333208/francisco-sole'}",2,1,/players/1333208/francisco-sole,+6,True,,Penalty,penalty,Pen,penalties_short,False,Francisco Solé,Francisco,Solé,Francisco Solé,1333208,"[3, 1]",,"{'id': 2921597245, 'eventType': 'Goal', 'teamId': 188213, 'playerId': 1333208, 'playerName': 'Francisco Solé', 'x': 94, 'y': 34, 'min': 90, 'minAdded': 6, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.254999999999995, 'goalCrossedZ': 1.9519999904, 'expectedGoals': 0.7884, 'expectedGoalsOnTarget': 0.9908199906349182, 'shotType': 'RightFoot', 'situation': 'Penalty', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.7261904761904774, 'y': 0.5164021138624338, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 940259, 'firstName': 'Francisco', 'lastName': 'Solé', 'fullName': 'Francisco Solé', 'teamColor': '#275190'}",,,Solé,1,188213,,,
1397146720Goal197456undefinedtrue,20,Goal,20,,13971467,"{'id': 197456, 'name': 'Emanuel Olivera', 'profileUrl': '/players/197456/emanuel-olivera'}",0,0,/players/197456/emanuel-olivera,False,True,,,,,,False,Emanuel Olivera,Emanuel,Olivera,Emanuel Olivera,197456,"[1, 0]",,"{'id': 2921623215, 'eventType': 'Goal', 'teamId': 7818, 'playerId': 197456, 'playerName': 'Emanuel Olivera', 'x': 96.2192982446, 'y': 37.708, 'min': 20, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 37.2025, 'goalCrossedZ': 1.3034736778000002, 'expectedGoals': 0.03850094974040985, 'expectedGoalsOnTarget': 0.5396471619606018, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.15277777777777768, 'y': 0.34483430629629636, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 343431, 'firstName': 'Emanuel', 'lastName': 'Olivera', 'fullName': 'Emanuel Olivera', 'teamColor': '#e0001f'}",assist by Omar Fernández,/players/579659/omar-fernandez,579659,assist_by,Omar Fernández,Olivera,1,7818
1399873657Goal662089undefinedtrue,57,Goal,57,,13998736,"{'id': 662089, 'name': 'Jonathan Torres', 'profileUrl': '/players/662089/jonathan-torres'}",0,0,/players/662089/jonathan-torres,False,True,,,,,,False,Jonathan Torres,Jonathan,Torres,Jonathan Torres,662089,"[1, 0]",,"{'id': 2924315375, 'eventType': 'Goal', 'teamId': 6295, 'playerId': 662089, 'playerName': 'Jonathan Torres', 'x': 90.5, 'y': 30.645, 'min': 57, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.745000000000005, 'goalCrossedZ': 0.4879999976, 'expectedGoals': 0.20871250331401825, 'expectedGoalsOnTarget': 0.7394377589225769, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.2738095238095226, 'y': 0.12910052846560846, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1032047, 'firstName': 'Jonathan', 'lastName': 'Torres', 'fullName': 'Jonathan Torres', 'teamColor': '#CA3638'}",assist by Matías Pérez,/players/1130624/matias-perez,1130624,assist_by,Matías Pérez,Torres,2,6295
1399869228Goal1108622undefinedtrue,28,Goal,28,,13998692,"{'id': 1108622, 'name': 'Facundo Farías', 'profileUrl': '/players/1108622/facundo-farias'}",0,0,/players/1108622/facundo-farias,False,True,,,,,,False,Facundo Farías,Facundo,Farías,Facundo Farías,1108622,"[1, 0]",,"{'id': 2924302733, 'eventType': 'Goal', 'teamId': 10094, 'playerId': 1108622, 'playerName': 'Facundo Farías', 'x': 92.5, 'y': 33.31375, 'min': 28, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 33.466249999999995, 'goalCrossedZ': 0.4879999976, 'expectedGoals': 0.40629681944847107, 'expectedGoalsOnTarget': 0.9735896587371826, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.141203703703705, 'y': 0.12910052846560846, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1432703, 'firstName': 'Facundo', 'lastName': 'Farías', 'fullName': 'Facundo Farías', 'teamColor': '#DE1D22'}",,,Farías,2,10094
1399872248Goal1231195undefinedtrue,48,Goal,48,,13998722,"{'id': 1231195, 'name': 'Tiago Palacios', 'profileUrl': '/players/1231195/tiago-palacios'}",1,1,/players/1231195/tiago-palacios,False,True,,,,,,False,Tiago Palacios,Tiago,Palacios,Tiago Palacios,1231195,"[2, 1]",,"{'id': 2924312207, 'eventType': 'Goal', 'teamId': 10094, 'playerId': 1231195, 'playerName': 'Tiago Palacios', 'x': 81.6966019424, 'y': 28.623095236999998, 'min': 48, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.745000000000005, 'goalCrossedZ': 0.8925263114, 'expectedGoals': 0.025267327204346657, 'expectedGoalsOnTarget': 0.3426520824432373, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.2738095238095226, 'y': 0.2361180717989418, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': False, 'keeperId': 1432703, 'firstName': 'Tiago', 'lastName': 'Palacios', 'fullName': 'Tiago Palacios', 'teamColor': '#DE1D22'}",,,Tiago Palacios,2,10094
1399871848Goal687700undefinedtrue,48,Goal,48,,13998718,"{'id': 687700, 'name': 'Maxi Gómez', 'profileUrl': '/players/687700/maxi-gomez'}",0,0,/players/687700/maxi-gomez,False,True,,,,,,False,Maxi Gómez,Maxi,Gómez,Maxi Gómez,687700,"[1, 0]",,"{'id': 2924312191, 'eventType': 'Goal', 'teamId': 8304, 'playerId': 687700, 'playerName': 'Maxi Gómez', 'x': 98.92105263139999, 'y': 30.797499999999996, 'min': 48, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.22875, 'goalCrossedZ': 0.20547368320000003, 'expectedGoals': 0.5675858855247498, 'expectedGoalsOnTarget': 0.3461783826351166, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.9394841269841275, 'y': 0.05435811724867726, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 319677, 'firstName': 'Maxi', 'lastName': 'Gómez', 'fullName': 'Maxi Gómez', 'teamColor': '#1246A9'}",,,Gómez,2,8304,,,
1399875764Goal165526undefinedtrue,64,Goal,64,,13998757,"{'id': 165526, 'name': 'Sebastián Coates', 'profileUrl': '/players/165526/sebastian-coates'}",1,0,/players/165526/sebastian-coates,False,True,,,,,,False,Sebastián Coates,Sebastián,Coates,Sebastián Coates,165526,"[2, 0]",,"{'id': 2924317607, 'eventType': 'Goal', 'teamId': 8304, 'playerId': 165526, 'playerName': 'Sebastián Coates', 'x': 102.8189655174, 'y': 38.536428573, 'min': 64, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 35.83, 'goalCrossedZ': 1.0594736790000001, 'expectedGoals': 0.14558450877666473, 'expectedGoalsOnTarget': 0.7794270515441895, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.5158730158730164, 'y': 0.28028404206349206, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 319677, 'firstName': 'Sebastián', 'lastName': 'Coates', 'fullName': 'Sebastián Coates', 'teamColor': '#1246A9'}",assist by Nicolás López,/players/362194/nicolas-lopez,Coates,2,8304,362194.0,assist_by,Nicolás López
1399884087Goal362194undefinedtrue,87,Goal,87,,13998840,"{'id': 362194, 'name': 'Nicolás López', 'profileUrl': '/players/362194/nicolas-lopez'}",2,1,/players/362194/nicolas-lopez,False,True,,,,,,False,Nicolás López,Nicolás,López,Nicolás López,362194,"[3, 1]",,"{'id': 2924325059, 'eventType': 'Goal', 'teamId': 8304, 'playerId': 362194, 'playerName': 'Nicolás López', 'x': 91.5, 'y': 45.6822929897, 'min': 87, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.0175, 'goalCrossedZ': 0.0834736838, 'expectedGoals': 0.04562932997941971, 'expectedGoalsOnTarget': 0.19581058621406555, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.5244708994709, 'y': 0.02208298513227513, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 319677, 'firstName': 'Nicolás', 'lastName': 'López', 'fullName': 'Nicolás López', 'teamColor': '#1246A9'}",assist by Agustín dos Santos,/players/1762504/agustin-dos-santos,López,2,8304,1762504.0,assist_by,Agustín dos Santos
1399894539Goal1385954undefinedtrue,39,Goal,39,,13998945,"{'id': 1385954, 'name': 'Lautaro Di Lollo', 'profileUrl': '/players/1385954/lautaro-di-lollo'}",0,0,/players/1385954/lautaro-di-lollo,False,True,,,,,,False,Lautaro Di Lollo,Lautaro,Di Lollo,Lautaro Di Lollo,1385954,"[1, 0]",,"{'id': 2924337477, 'eventType': 'Goal', 'teamId': 10077, 'playerId': 1385954, 'playerName': 'Lautaro Di Lollo', 'x': 95.54385964789999, 'y': 33.084999999999994, 'min': 39, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 35.75375, 'goalCrossedZ': 0.5714736814000001, 'expectedGoals': 0.054189834743738174, 'expectedGoalsOnTarget': 0.053830165416002274, 'shotType': 'Header', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.5360449735449745, 'y': 0.15118351359788362, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 423508, 'firstName': 'Lautaro', 'lastName': 'Di Lollo', 'fullName': 'Lautaro Di Lollo', 'teamColor': '#00458a'}",assist by Lautaro Blanco,/players/1200014/lautaro-blanco,1200014,assist_by,Lautaro Blanco,Di Lollo,2,10077
1399907581Goal724854undefinedtrue,81,Goal,81,,13999075,"{'id': 724854, 'name': 'Santiago Ascacíbar', 'profileUrl': '/players/724854/santiago-ascacibar'}",1,0,/players/724854/santiago-ascacibar,False,True,,,,,,False,Santiago Ascacíbar,Santiago,Ascacíbar,Santiago Ascacíbar,724854,"[2, 0]",,"{'id': 2924356937, 'eventType': 'Goal', 'teamId': 10077, 'playerId': 724854, 'playerName': 'Santiago Ascacíbar', 'x': 95.2543859636, 'y': 34.915000000000006, 'min': 81, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.17, 'goalCrossedZ': 0.8539999958000001, 'expectedGoals': 0.04611358046531677, 'expectedGoalsOnTarget': 0.04768148437142372, 'shotType': 'Header', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.4841269841269837, 'y': 0.22592592481481483, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 423508, 'firstName': 'Santiago', 'lastName': 'Ascacíbar', 'fullName': 'Santiago Ascacíbar', 'teamColor': '#00458a'}",assist by Lautaro Blanco,/players/1200014/lautaro-blanco,1200014,assist_by,Lautaro Blanco,Ascacíbar,2,10077
1399910890Goal164676undefinedtrue,90 + 4,Goal,90,4,13999108,"{'id': 164676, 'name': 'Ander Herrera', 'profileUrl': '/players/164676/ander-herrera'}",2,0,/players/164676/ander-herrera,+4,True,,,,,,False,Ander Herrera,Ander,Herrera,Ander Herrera,164676,"[3, 0]",,"{'id': 2924360871, 'eventType': 'Goal', 'teamId': 10077, 'playerId': 164676, 'playerName': 'Ander Herrera', 'x': 79.21893204, 'y': 33.39, 'min': 90, 'minAdded': 4, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.97375, 'goalCrossedZ': 0.5265263132, 'expectedGoals': 0.04489278048276901, 'expectedGoalsOnTarget': 0.5090650320053101, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.21329365079365015, 'y': 0.13929267544973545, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': False, 'keeperId': 423508, 'firstName': 'Ander', 'lastName': 'Herrera', 'fullName': 'Ander Herrera', 'teamColor': '#00458a'}",assist by Alan Velasco,/players/1053392/alan-velasco,1053392,assist_by,Alan Velasco,Herrera,2,10077
